
2025/03/12 (09:42:00) | ===> btop++ v.1.4.0
2025/03/12 (09:42:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (11:05:26) | ===> btop++ v.1.4.0
2025/03/12 (11:05:26) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/12 (11:11:40) | ERROR: Stall in Runner thread, restarting!

2025/03/12 (12:19:22) | ===> btop++ v.1.4.0
2025/03/12 (12:19:22) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/13 (09:26:37) | ERROR: Stall in Runner thread, restarting!
2025/03/13 (09:29:50) | ERROR: Stall in Runner thread, restarting!
2025/03/13 (09:52:03) | ERROR: Stall in Runner thread, restarting!
2025/03/13 (10:25:57) | ERROR: Stall in Runner thread, restarting!

2025/03/13 (10:51:43) | ===> btop++ v.1.4.0
2025/03/13 (10:51:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (11:19:36) | ===> btop++ v.1.4.0
2025/03/13 (11:19:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (09:03:01) | ===> btop++ v.1.4.0
2025/03/14 (09:03:01) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/14 (10:14:49) | ERROR: Stall in Runner thread, restarting!
2025/03/14 (10:30:07) | ERROR: Stall in Runner thread, restarting!

2025/03/14 (11:58:02) | ===> btop++ v.1.4.0
2025/03/14 (11:58:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (12:35:52) | ===> btop++ v.1.4.0
2025/03/14 (12:35:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (08:43:57) | ===> btop++ v.1.4.0
2025/03/17 (08:43:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (11:24:59) | ===> btop++ v.1.4.0
2025/03/17 (11:24:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (11:49:59) | ===> btop++ v.1.4.0
2025/03/17 (11:49:59) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (11:58:19) | ERROR: Stall in Runner thread, restarting!

2025/03/17 (12:01:36) | ===> btop++ v.1.4.0
2025/03/17 (12:01:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (14:53:11) | ===> btop++ v.1.4.0
2025/03/17 (14:53:11) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/17 (14:55:39) | ERROR: Stall in Runner thread, restarting!

2025/03/20 (12:47:42) | ===> btop++ v.1.4.0
2025/03/20 (12:47:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/20 (13:12:50) | ===> btop++ v.1.4.0
2025/03/20 (13:12:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (09:19:47) | ===> btop++ v.1.4.0
2025/03/21 (09:19:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (11:44:38) | ===> btop++ v.1.4.0
2025/03/21 (11:44:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (13:09:08) | ===> btop++ v.1.4.0
2025/03/23 (13:09:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/24 (08:32:41) | ===> btop++ v.1.4.0
2025/03/24 (08:32:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/24 (11:33:35) | ===> btop++ v.1.4.0
2025/03/24 (11:33:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (17:16:53) | ===> btop++ v.1.4.0
2025/03/25 (17:16:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/07 (11:29:05) | ===> btop++ v.1.4.0
2025/07/07 (11:29:05) | WARNING: Intel GPU: Failed to initialize PMU
